"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,0,5,2,1,0,2024-01-27,Australian_Open,1,3,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,0,5,2,1,0,2024-01-27,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,1,2,5,0,1,2024-01-27,Australian_Open,3,3,22,8,1,99,2,99,2,3,99,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,2,0,5,2,1,0,2024-01-27,Australian_Open,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,2,2,5,0,1,2024-01-27,Australian_Open,3,2,22,10,1,99,2,99,2,3,99,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,5,2,1,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,5,2,1,0,2024-01-27,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,3,2,5,0,1,2024-01-27,Australian_Open,3,3,22,2,2,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,5,2,1,0,2024-01-27,Australian_Open,4,2,1,7,1,99,2,99,2,4,2,3,3,22,2,2,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,1,5,2,1,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,1,3,2,5,0,1,2024-01-27,Australian_Open,3,1,1,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,1,5,2,1,0,2024-01-27,Australian_Open,4,2,1,10,3,99,2,99,2,4,4,3,1,1,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,2,5,2,1,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,3,2,5,0,1,2024-01-27,Australian_Open,3,3,22,2,2,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,2,5,2,1,0,2024-01-27,Australian_Open,4,2,1,7,1,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,3,2,5,0,1,2024-01-27,Australian_Open,4,1,1,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,2,5,2,1,0,2024-01-27,Australian_Open,4,3,24,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,3,2,5,0,1,2024-01-27,Australian_Open,4,3,30,2,2,99,2,99,2,5,7,4,3,24,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,3,1,1,8,3,99,2,99,2,3,99,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,4,3,5,2,1,0,2024-01-27,Australian_Open,1,3,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,4,3,5,2,1,0,2024-01-27,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,4,2,5,0,1,2024-01-27,Australian_Open,3,3,22,2,2,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,4,3,5,2,1,0,2024-01-27,Australian_Open,4,2,1,7,1,99,2,99,2,4,1,3,3,22,2,2,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,3,1,1,7,1,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,4,2,1,7,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,4,1,3,8,3,99,2,99,2,3,99,4,2,1,7,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,4,5,2,1,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,4,2,1,10,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,3,5,2,1,0,2024-01-27,Australian_Open,4,2,1,7,1,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,3,2,5,0,1,2024-01-27,Australian_Open,4,1,1,2,2,99,2,99,2,4,3,4,2,1,7,1,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,4,3,5,2,1,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,4,2,5,0,1,2024-01-27,Australian_Open,3,3,22,8,1,1,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,4,3,5,2,1,0,2024-01-27,Australian_Open,4,1,1,7,1,99,2,99,2,5,7,3,3,22,8,1,1,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,0,0,0,0,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,0,0,0,0,0,2024-01-27,Australian_Open,3,1,1,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand return down the middle (deep)
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,0,0,0,0,0,2024-01-27,Australian_Open,4,2,22,7,3,99,2,99,2,5,7,3,1,1,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand crosscourt,  winner
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,0,0,0,0,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,1,0,0,0,0,2024-01-27,Australian_Open,3,3,24,99,99,99,2,99,2,3,99,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand slice return,  forced error
"Aryna Sabalenka","Qinwen Zheng",RH,RH,2,0,0,0,0,0,2024-01-27,Australian_Open,1,1,99,6,2,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve down the T,  ace
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,0,0,0,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide,  fault (net)
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,0,0,0,0,2024-01-27,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, 2nd serve wide
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,3,0,0,0,0,2024-01-27,Australian_Open,3,3,22,7,3,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand return crosscourt (deep)
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,0,0,0,0,2024-01-27,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand down the middle
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,3,0,0,0,0,2024-01-27,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the middle
"Aryna Sabalenka","Qinwen Zheng",RH,RH,3,0,0,0,0,0,2024-01-27,Australian_Open,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand down the middle
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,3,0,0,0,0,2024-01-27,Australian_Open,4,2,1,2,2,99,2,99,2,4,3,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the middle (long),  unforced error
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,0,1,0,0,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,0,0,1,0,0,2024-01-27,Australian_Open,3,1,1,7,1,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand return crosscourt (very deep)
"Qinwen Zheng","Aryna Sabalenka",RH,RH,0,0,1,0,0,0,2024-01-27,Australian_Open,4,1,1,8,3,99,2,99,2,4,2,3,1,1,7,1,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the line (wide),  unforced error
"Qinwen Zheng","Aryna Sabalenka",RH,RH,1,0,1,0,0,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,1,0,1,0,0,2024-01-27,Australian_Open,3,3,22,99,99,99,2,99,2,3,99,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand return,  forced error
"Qinwen Zheng","Aryna Sabalenka",RH,RH,1,1,1,0,0,0,2024-01-27,Australian_Open,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve down the T
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,1,0,1,0,0,2024-01-27,Australian_Open,3,2,22,10,1,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand return inside-out (shallow)
"Qinwen Zheng","Aryna Sabalenka",RH,RH,1,1,1,0,0,0,2024-01-27,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,3,2,22,10,1,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand crosscourt
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,1,0,1,0,0,2024-01-27,Australian_Open,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,3,2,22,10,1,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the middle
"Qinwen Zheng","Aryna Sabalenka",RH,RH,1,1,1,0,0,0,2024-01-27,Australian_Open,4,2,1,10,3,99,2,99,2,4,2,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand inside-out (wide),  unforced error
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,1,1,0,0,0,2024-01-27,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,2,0,1,0,0,2024-01-27,Australian_Open,3,3,22,2,2,2,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand return down the middle (deep)
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,1,1,0,0,0,2024-01-27,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,3,3,22,2,2,2,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the middle
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,2,0,1,0,0,2024-01-27,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,3,3,22,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, forehand down the middle
"Qinwen Zheng","Aryna Sabalenka",RH,RH,2,1,1,0,0,0,2024-01-27,Australian_Open,4,2,22,2,2,99,2,99,2,4,1,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand down the middle (net),  unforced error
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,1,1,0,0,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide,  fault (wide)
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,1,1,0,0,0,2024-01-27,Australian_Open,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, 2nd serve down the T
"Aryna Sabalenka","Qinwen Zheng",RH,RH,1,3,0,1,0,0,2024-01-27,Australian_Open,3,2,22,7,3,2,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand return crosscourt (deep)
"Qinwen Zheng","Aryna Sabalenka",RH,RH,3,1,1,0,0,0,2024-01-27,Australian_Open,4,3,22,8,1,99,2,99,2,3,99,3,2,22,7,3,2,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, backhand down the line,  forced error
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,0,2,0,0,0,2024-01-27,Australian_Open,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html,1st serve wide,  fault (wide)
"Aryna Sabalenka","Qinwen Zheng",RH,RH,0,0,2,0,0,0,2024-01-27,Australian_Open,2,1,99,4,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240127-W-Australian_Open-F-Aryna_Sabalenka-Qinwen_Zheng.html, 2nd serve wide
