"Gustavo Heide","Elias Ymer",RH,RH,1,0,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,3,22,2,2,3,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,0,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,1,7,1,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,0,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,1,8,3,99,2,99,1,7,7,4,1,1,7,1,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,32,8,1,99,2,99,2,7,7,4,1,1,8,3,99,2,99,1,7,7,4,1,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,0,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,7,2,2,99,2,99,2,7,7,4,3,32,8,1,99,2,99,2,7,7,4,1,1,8,3,99,2,99,1,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,2,2,99,2,99,2,7,7,4,1,7,2,2,99,2,99,2,7,7,4,3,32,8,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,0,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,13,7,1,99,2,99,2,5,7,4,2,22,2,2,99,2,99,2,7,7,4,1,7,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,1,3,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,7,3,99,2,99,2,7,7,3,1,3,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,3,1,3,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,24,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,4,2,24,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,4,2,24,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,8,1,99,2,99,2,3,99,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,2,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,2,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,2,3,99,4,3,99,2,99,2,2,3,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,2,2,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,2,2,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,1,3,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,2,2,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,5,7,3,1,3,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,2,3,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,1,3,99,5,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,2,3,3,1,1,1,2024-02-02,Davis_Cup_Qualifiers,2,3,99,5,3,99,2,99,2,7,7,1,3,99,5,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,3,2,1,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,3,1,9,1,99,2,99,2,3,99,2,3,99,5,3,99,2,99,2,7,7,1,3,99,5,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,1,2,2,99,2,99,2,3,99,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,3,22,2,2,3,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,0,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,1,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,5,7,4,3,22,2,2,99,2,99,1,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,24,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,3,24,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,3,24,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,24,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,1,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,22,2,2,99,2,99,2,4,1,4,2,24,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,2,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,2,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,3,22,8,1,1,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,2,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,1,8,3,99,2,1,2,7,7,3,3,22,8,1,1,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,2,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,1,1,8,3,99,2,1,2,7,7,3,3,22,8,1,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,2,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,5,7,1,99,2,99,2,5,7,4,3,22,2,2,99,2,99,2,7,7,4,1,1,8,3,99,2,1,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,3,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,3,1,3,2,1,1,2024-02-02,Davis_Cup_Qualifiers,2,1,99,6,2,99,2,99,2,7,7,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,1,3,2,3,1,1,2024-02-02,Davis_Cup_Qualifiers,3,2,22,99,99,99,2,99,2,3,99,2,1,99,6,2,99,2,99,2,7,7,1,1,99,5,1,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,4,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,4,2,1,1,2024-02-02,Davis_Cup_Qualifiers,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,0,2,4,1,1,2024-02-02,Davis_Cup_Qualifiers,3,1,22,2,2,3,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,4,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,7,7,3,1,22,2,2,3,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,0,0,2,4,1,1,2024-02-02,Davis_Cup_Qualifiers,4,1,3,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,3,1,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,0,4,2,1,1,2024-02-02,Davis_Cup_Qualifiers,4,3,1,9,1,99,2,99,2,5,7,4,1,3,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Gustavo Heide","Elias Ymer",RH,RH,0,1,4,2,1,1,2024-02-02,Davis_Cup_Qualifiers,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
"Elias Ymer","Gustavo Heide",RH,RH,1,0,2,4,1,1,2024-02-02,Davis_Cup_Qualifiers,3,2,3,7,1,3,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Elias_Ymer-Gustavo_Heide.html
